"","Longitude","Latitude"
"12661",-87.724309444,41.776816906
"1240152",-87.684860827,41.876108306
"1240585",-87.62171126,41.676213387
"2876029",-87.718230034,41.925172259
"2876866",-87.718230034,41.925172259
"2877669",-87.67969138,41.772891614
"2878412",-87.718230034,41.925172259
"2879106",-87.724791421,41.807264618
"2879813",-87.619972548,41.823176544
"2880529",-87.701985248,41.846370915
"2881176",-87.760787508,41.899160207
"2881813",-87.616794286,41.792988935
"2882390",-87.658883267,41.808230277
"2883005",-87.724600706,41.934190803
"2883577",-87.595465112,41.750237807
"2884161",-87.707581501,41.961190208
"2884895",-87.7477704,41.869324965
"2885509",-87.726916976,41.902660873
"2886340",-87.726710763,41.858842368
"2887142",-87.72033308,41.862444646
"2887976",-87.717889584,41.956380443
"2888687",-87.632977522,41.660066269
"2889293",-87.691078312,41.849227593
"2889970",-87.748644193,41.888662662
"2890537",-87.646070222,41.829233093
"2891178",-87.716247283,41.870831162
"2891823",-87.623776467,41.783012885
"2892402",-87.694806816,41.857401577
"2893087",-87.615560874,41.777651649
"2893806",-87.661189175,41.99818046
"2894470",-87.704661325,41.831319567
"2895128",-87.721849969,41.900883179
"2895982",-87.753330088,41.902500943
"2896807",-87.709927003,41.885344291
"2897505",-87.638509526,41.908430535
"2898126",-87.622769196,41.806824289
"2898731",-87.658318065,41.993457327
"2899440",-87.554118677,41.728852906
"2900087",-87.670739627,41.751462228
"2900763",-87.670739627,41.751462228
"2901314",-87.71350458,41.84194404
"2901964",-87.71350458,41.84194404
"2902588",-87.644579271,41.771813794
"2903202",-87.690945816,41.912690293
"2903834",-87.644703378,41.756095195
"2904386",-87.550682243,41.728258735
"2905209",-87.715781195,41.900935773
"2905977",-87.603419909,41.745815403
"2906721",-87.669993754,41.814969058
"2907282",-87.721433976,41.879813404
"2907866",-87.723864309,41.869826277
"2908537",-87.66337168,41.747758596
"2909186",-87.621061298,41.803391597
"2909811",-87.573889357,41.726136684
"2910285",-87.637881989,41.773480399
"2910967",-87.685941318,41.817038668
"2911522",-87.792302574,41.999691066
"2912183",-87.716972109,41.753588417
"2913007",-87.676994406,41.803691863
"2913798",-87.707731438,41.810702121
"2914609",-87.767849643,41.8955728
"2915210",-87.59266619,41.764185533
"2915775",-87.684915859,41.877565813
"2916517",-87.650269301,41.756902313
"2917154",-87.630388022,41.790325892
"2917801",-87.717593553,41.856033126
"2918318",-87.773012281,41.879783007
"2918954",-87.630417465,41.775545332
"2919454",-87.603846574,41.807142019
"2920043",-87.622671769,41.678409312
"2920596",-87.621151496,41.763767383
"2921231",-87.686154916,41.87085488
"2922045",-87.718072223,41.786512198
"2922826",-87.766835223,41.909363097
"2923452",-87.628976735,41.690698838
"2924099",-87.648682646,41.789621327
"2924671",-87.652007802,41.777223184
"2925196",-87.751943416,41.895411044
"2925809",-87.74257961,41.873637047
"2926416",-87.633455664,41.67707862
"2927239",-87.670189207,41.995554476
"2927889",-87.624023589,41.792194049
"2928502",-87.634399903,41.711591584
"2929319",-87.646580683,41.671721258
"2930101",-87.602148439,41.77454286
"2930704",-87.731236702,41.910499189
"2931340",-87.701985818,41.848179387
"2932006",-87.72920818,41.874311178
"2932609",-87.635757636,41.744874654
